"","jeolla","seoul"
"22","나도 근데 인제 다이어트를 딱 시작한다고 마음을 먹었는데 옆에서 그 자꾸 그렇게 먹으라고 하면 이제 나도 먹게 되니까","나도 근데 이제 다이어트를 딱 시작한다고 마음을 먹었는데 옆에서 그 자꾸 그렇게 먹으라고 하면 이제 나도 먹게 되니까"
"23","이제 또 먹으면","이제 또 먹으면"
"24","아 오늘까지만 먹어야지 하고 인제 또 왕창 먹어 버리니까 계속 이게 반복되면서 인제 계속 인제 살이 찌고","아 오늘까지만 먹어야지 하고 이제 또 왕창 먹어 버리니까 계속 이게 반복되면서 이제 계속 이제 살이 찌고"
"25","나는 나한테 실망하고 약간 그런 게 있는 것 같아.","나는 나한테 실망하고 약간 그런 게 있는 것 같아."
"26","아 근데 자괴감 자괴감 오는거 자괴감 오는 거 인정.","아 근데 자괴감 자괴감 오는거 자괴감 오는 거 인정."
"27","근데 이게 문제가 이게 살을 어느 정도 빼면 더 문제인 게","근데 이게 문제가 이게 살을 어느 정도 빼면 더 문제인 게"
"28","약간 거울 봤을 때 약간 내가 괜찮아 보여 {laughing}","약간 거울 봤을 때 약간 내가 괜찮아 보여 {laughing}"
"29","그러면 이제 망하는 거야.","그러면 이제 망하는 거야."
"30","그럼 이제 못해.","그럼 이제 못해."
"31","다이어트는 아무것도 못 해.","다이어트는 아무것도 못 해."
"32","어 맞어","어 맞어"
"33","약간 옷으로 가려지는 것도 있고 좀 앵간해 보이니까 못한다고 그거를","약간 옷으로 가려지는 것도 있고 좀 어지간히 보이니까 못한다고 그거를"
"34","근데 진짜 다이어트를 딱했을 때 인제 다이어트를 하면서 좀 몸무게 같은 걸 재면서 항상 아침마다 몸무게를 재고 인제","근데 진짜 다이어트를 딱했을 때 이제 다이어트를 하면서 좀 몸무게 같은 걸 재면서 항상 아침마다 몸무게를 재고 이제"
"35","아 오늘 이만큼 빠졌구나 했는데 인제 나중에 되면서 어느 정도 정체되는 몸무게가 되잖아","아 오늘 이만큼 빠졌구나 했는데 이제 나중에 되면서 어느 정도 정체되는 몸무게가 되잖아"
"36","인제 그러면 진짜 거울을 봐도 머 달라지는 것도 없으니까 다이어트에 대한 회의감 같은 게 막 들어서","이제 그러면 진짜 거울을 봐도 뭐 달라지는 것도 없으니까 다이어트에 대한 회의감 같은 게 막 들어서"
"37","이제 그때 이후로부터는 이제 막 먹기 시작하는 거지","이제 그때 이후로부터는 이제 막 먹기 시작하는 거지"
"38","그래서 나는 좀 몸무게가 정체됐을 때가 제일 스트레스 받는 것 같애.","그래서 나는 좀 몸무게가 정체됐을 때가 제일 스트레스 받는 것 같애."
"39","아니 근데 나는 체중계 올라가는 것도 좀 하다가 안 했어.","아니 근데 나는 체중계 올라가는 것도 좀 하다가 안 했어."
"40","짜증 나 가지고 스트레스 받아가지고","짜증 나 가지고 스트레스 받아가지고"
"41","그니까 다이어트를 안 하는 게 제일 좋은데 그냥 찌면 안 되잖아 그게","그니까 다이어트를 안 하는 게 제일 좋은데 그냥 찌면 안 되잖아 그게"
"42","우리 고삼 때도 엄청 쪄갖고 막 난리 났었잖아.","우리 고삼 때도 엄청 쪄갖고 막 난리 났었잖아."
"43","그때 다 쪄가지고","그때 다 쪄가지고"
"44","심각해.","심각해."
"45","근데 그 다이어트라는 게 나는 솔직히 인제 처음에는 정말로 막","근데 그 다이어트라는 게 나는 솔직히 이제 처음에는 정말로 막"
"46","간헐적 단식 엄청 많이 하고 그냥 진짜 고구마랑 계란만 먹고","간헐적 단식 엄청 많이 하고 그냥 진짜 고구마랑 계란만 먹고"
"47","진짜 막 한 달에 십 키로 씩 뺄 만큼 엄청 많이 뺐었는데 진짜 인제 다이어트를 많이 하고 느낀 게 그냥 습관적인 거를 바꿔가지고","진짜 막 한 달에 십 키로 씩 뺄 만큼 엄청 많이 뺐었는데 진짜 이제 다이어트를 많이 하고 느낀 게 그냥 습관적인 거를 바꿔가지고"
"48","인제 운동도 어느 정도 습관화하고 인제 밥 같은 것도","이제 운동도 어느 정도 습관화하고 이제 밥 같은 것도"
"49","소식하면서 (()) 하는 게 더 나을 것 같다 생각해서 인제 그렇게 할려고노력하고 있지만 확실히 간헐적 단식 같은 게 눈에 잘 보이고 눈에 인제 테가 나니까","소식하면서 (()) 하는 게 더 나을 것 같다 생각해서 이제 그렇게 하려고노력하고 있지만 확실히 간헐적 단식 같은 게 눈에 잘 보이고 눈에 이제 테가 나니까"
"50","그거를 더 선호 선호할 수밖에 없는 것 같애.","그거를 더 선호 선호할 수밖에 없는 것 같애."
"51","맞어.","맞어."
"52","근데 내가 피티도 받아봤잖아","근데 내가 피티도 받아봤잖아"
"53","근데 이게 진짜 주변에서 피티 받았다 하면은","근데 이게 진짜 주변에서 피티 받았다 하면은"
"54","한 진짜 한 열 명 이십 명 물어본단 말이야.","한 진짜 한 열 명 이십 명 물어본단 말이야."
"55","근디 이게 다 말하는 게 비싸지 않냐고 물어본단 말이야","그런데 이게 다 말하는 게 비싸지 않냐고 물어본단 말이야"
"56","진짜 공감해 나 진짜 세 달 해가지고 백오십만 원 들었어.","진짜 공감해 나 진짜 세 달 해가지고 백오십만 원 들었어."
"57","백오십만 원 들어가지고 십 키로 빼기","백오십만 원 들어가지고 십 키로 빼기"
"58","그게 진짜 너무너무 좀 에바야.","그게 진짜 너무너무 좀 에바야."
"59","그건 진짜 에바야.","그건 진짜 에바야."
"60","어 진짜 에바야 한번 하면 족해.","어 진짜 에바야 한번 하면 족해."
"61","평소 습관 고치는 게 니 말대로 맞기는 해 진짜","평소 습관 고치는 게 니 말대로 맞기는 해 진짜"
"62","근데 그게 쉽지가 않단 말이야 진짜로","근데 그게 쉽지가 않단 말이야 진짜로"
"63","좀 덜먹으면 되는데 그게 어렵잖아 솔직히","좀 덜먹으면 되는데 그게 어렵잖아 솔직히"
"64","아 너무 힘들어.","아 너무 힘들어."
"65","아 진짜 근데 머 운동을 한다고 해서 우리가 막 뭐 런닝 같은 거 뛴다고 하는데 런닝 할 때도 어떻게 –뛰- 어떻게 뭐 뭐 어떻게 발 같은 것도","아 진짜 근데 머 운동을 한다고 해서 우리가 막 뭐 런닝 같은 거 뛴다고 하는데 런닝 할 때도 어떻게 –뛰- 어떻게 뭐 뭐 어떻게 발 같은 것도"
"66","알고 보니까 다 런닝에도 자세가 있었고","알고 보니까 다 런닝에도 자세가 있었고"
"67","그런 걸 보면서 아 운동도 진짜 이게 방법을 알지 못하면","그런 걸 보면서 아 운동도 진짜 이게 방법을 알지 못하면"
"68","정말 힘들구나라고 생각해","정말 힘들구나라고 생각해"
"69","나도 진짜","나도 진짜"
"70","아 –그- 그러니까 사람들이 다 굶는 거야.","아 –그- 그러니까 사람들이 다 굶는 거야."
"71","그러는 게 제일 쉬우니까 {laughing}","그러는 게 제일 쉬우니까 {laughing}"
"72","그게 제일 만만하잖아. {laughing}","그게 제일 만만하잖아. {laughing}"
"73","그 운동하는 거 어려우니까","그 운동하는 거 어려우니까"
"74","그러고 굶는 게 진짜로 테가 확 나 진짜","그러고 굶는 게 진짜로 테가 확 나 진짜"
"75","갑자기 하루 굶고 막 이틀 굶었는데 이제 이틀 간헐적 단식하니까","갑자기 하루 굶고 막 이틀 굶었는데 이제 이틀 간헐적 단식하니까"
"76","인제 배가 막 뱃살이 없어","이제 배가 막 뱃살이 없어"
"77","그러고 얼굴살도 빠져있고","그러고 얼굴살도 빠져있고"
"78","그럼 거울 보면서 만족감을 느끼는 거지.{laughing}","그럼 거울 보면서 만족감을 느끼는 거지.{laughing}"
"79","근데 그러면 힘들잖아 다음 날","근데 그러면 힘들잖아 다음 날"
"80","다음 날 폭식하던데 나는 언제나 폭식을 부르는데 나는 글지","다음 날 폭식하던데 나는 언제나 폭식을 부르는데 나는 그렇지"
"81","어 근데 폭식할 때도 있는데 약간 좀 마음의 생각을 다 잡고 인제 아 나 다이어트해야 되겠다 계속 그렇게 생각하면 되긴 하는데","어 근데 폭식할 때도 있는데 약간 좀 마음의 생각을 다 잡고 이제 아 나 다이어트해야 되겠다 계속 그렇게 생각하면 되긴 하는데"
"82","어쩔 때 한 번씩 진짜로 막 삘 받아 가지고 나는 진짜 고구마만 먹다가 갈치구이 별로 좋아하질 않는데 갈치구이 먹고","어쩔 때 한 번씩 진짜로 막 삘 받아 가지고 나는 진짜 고구마만 먹다가 갈치구이 별로 좋아하질 않는데 갈치구이 먹고"
"83","근데 유튜브에 막 다이어트 식단 이런 거 찾아봐도 막 되게 돈 많이 들어가는 거 있지","근데 유튜브에 막 다이어트 식단 이런 거 찾아봐도 막 되게 돈 많이 들어가는 거 있지"
"84","예쁜 이런 나무볼에 비싼 그릭 요거트 그런 거 해가지고 붓고 또 비싼 제철 과일 이런 거 해갖고 막 올려놔","예쁜 이런 나무볼에 비싼 그릭 요거트 그런 거 해가지고 붓고 또 비싼 제철 과일 이런 거 해갖고 막 올려놔"
"85","우리는 그럴 돈이 없단 말이야.","우리는 그럴 돈이 없단 말이야."
"86","우리는 그냥 편의점에서 천오백 원씩 하는 닭 가슴살 이런 거 사다 먹어야 되는 거야.","우리는 그냥 편의점에서 천오백 원씩 하는 닭 가슴살 이런 거 사다 먹어야 되는 거야."
"87","그래서 어려워 그래서","그래서 어려워 그래서"
"88","아 근데 진짜 대중적으로 보여지는 그런 다이어트 식단을 솔직히 다 지키잖아?","아 근데 진짜 대중적으로 보여지는 그런 다이어트 식단을 솔직히 다 지키잖아?"
"89","그러면 진짜 살 잘 빠질걸?","그러면 진짜 살 잘 빠질걸?"
"90","{laughing}","{laughing}"
"91","근데 맞기는 해.","근데 맞기는 해."
"92","연예인 다이어트 식단 이런 거 하루에 아침에 양배추 먹고","연예인 다이어트 식단 이런 거 하루에 아침에 양배추 먹고"
"93","그다음에 뭐 통밀 식빵 이런 거 하나 먹고 그렇게 하면 빠지지","그다음에 뭐 통밀 식빵 이런 거 하나 먹고 그렇게 하면 빠지지"
"94","근데 그건 진짜 사람 사는 게 아니야.","근데 그건 진짜 사람 사는 게 아니야."
"95","다이어트가 근데 솔직히 다이어트를 음 다이어트가 진짜 어렵지만","다이어트가 근데 솔직히 다이어트를 음 다이어트가 진짜 어렵지만"
"96","다이어트하는 것도 어렵고 다이어트를 하기 마음 먹기 까지를 엄청 어려운데","다이어트하는 것도 어렵고 다이어트를 하기 마음 먹기 까지를 엄청 어려운데"
"97","진짜 다이어트는 근데 우리가 평생 –해- 해가야 할 숙제 숙명이라고 생각해가지고 어쩔 수가 없는 것 같다 진짜","진짜 다이어트는 근데 우리가 평생 –해- 해가야 할 숙제 숙명이라고 생각해가지고 어쩔 수가 없는 것 같다 진짜"
"98","맞아 그리고 이게 또 다이어터 옆에 있는 애가 나랑 좀 비슷비슷했어.","맞아 그리고 이게 또 다이어터 옆에 있는 애가 나랑 좀 비슷비슷했어."
"99","근데 걔가 빠지잖아?","근데 걔가 빠지잖아?"
"100","그럼 인제 그때부터 엄청난 자극이 온다고","그럼 이제 그때부터 엄청난 자극이 온다고"
"101","아 진짜 옆에 애들이 막 솔직히 다 인제 갑자기 인제 고삼 때까지는 인제","아 진짜 옆에 애들이 막 솔직히 다 이제 갑자기 이제 고삼 때까지는 이제"
"102","다 같이 인제 맨날 그 머 급식 먹고 인제 그 맨날 같이 급식 먹고 매점 가니까","다 같이 이제 맨날 그 머 급식 먹고 이제 그 맨날 같이 급식 먹고 매점 가니까"
"103","인제 다 인제 살이 이렇게 올라 있는데 인제 나중에 한 육 개월 뒤쯤에 봐","이제 다 이제 살이 이렇게 올라 있는데 이제 나중에 한 육 개월 뒤쯤에 봐"
"104","근데 갑자기 뭐 살이 엄청 빠져있어 그러면 나도 엄청 자괴감 들고","근데 갑자기 뭐 살이 엄청 빠져있어 그러면 나도 엄청 자괴감 들고"
"105","아 나도 진짜 난 육 개월 동안 뭐 했지?","아 나도 진짜 난 육 개월 동안 뭐 했지?"
"106","나도 진짜 살 빼야 되겠다 약간 이런 생각 진짜 많이 들어.","나도 진짜 살 빼야 되겠다 약간 이런 생각 진짜 많이 들어."
"107","아 근데 나는 다 해봤을 때 솔직히 돈은 많이 들어도 피티가 제일 좋은 것 같고","아 근데 나는 다 해봤을 때 솔직히 돈은 많이 들어도 피티가 제일 좋은 것 같고"
"108","피티 끝나고 아니면 헬스","피티 끝나고 아니면 헬스"
"109","근데 스피닝은 스피닝은 내가 진짜 한 번 하고 다리 후들거려 가지고 바로 막 난리 났거든?","근데 스피닝은 스피닝은 내가 진짜 한 번 하고 다리 후들거려 가지고 바로 막 난리 났거든?"
"110","근데 너는 스피닝 엄청 잘하잖아.","근데 너는 스피닝 엄청 잘하잖아."
"111","아 나도 근데 스피닝을 내가 좀 나도 원래 옛날부터","아 나도 근데 스피닝을 내가 좀 나도 원래 옛날부터"
"112","운동을 진짜 내가 운동을 어렸을 때부터 아빠랑 맨날 해 봐가지고","운동을 진짜 내가 운동을 어렸을 때부터 아빠랑 맨날 해 봐가지고"
"113","아 나 운동 잘한다 약간 이런 생각을 가지고 있었는데","아 나 운동 잘한다 약간 이런 생각을 가지고 있었는데"
"114","스피닝 타니까 막 앞에서 있는 아줌마들이 막 엄청 이렇게 하면서","스피닝 타니까 막 앞에서 있는 아줌마들이 막 엄청 이렇게 하면서"
"115","하고 있어 가지고 나도 근데 처음에는 진짜 힘들었어.","하고 있어 가지고 나도 근데 처음에는 진짜 힘들었어."
"116","근데 어쩔 수 없이 해야지 약간 이런 생각 때문에 했는데 나는 솔직히 피티가 더 -힘들- 힘들 거 같은데","근데 어쩔 수 없이 해야지 약간 이런 생각 때문에 했는데 나는 솔직히 피티가 더 -힘들- 힘들 거 같은데"
"117","아 스피닝은 단기간으로 해도 효과가 좀 쩔잖아","아 스피닝은 단기간으로 해도 효과가 좀 쩔잖아"
"118","이 좀 효과가 좋잖아 이게","이 좀 효과가 좋잖아 이게"
"119","아 근데 –피- 스피닝은 좀 단기간에 하면은 효과가 좋긴 좋아.","아 근데 –피- 스피닝은 좀 단기간에 하면은 효과가 좋긴 좋아."
"120","근데 인제 그거를 스피닝을 안 하고 있으면 인제 확실히 그게 엄청 칼로리 태우니까","근데 이제 그거를 스피닝을 안 하고 있으면 이제 확실히 그게 엄청 칼로리 태우니까"
"121","인제 스피닝을 끝내고 안하면 인제 살이 다시 쪄.","이제 스피닝을 끝내고 안하면 이제 살이 다시 쪄."
"122","어쩔 수가 없어 이거는","어쩔 수가 없어 이거는"
"123","아 근데 아줌마들이 막 옆에서 겁나 해블면 막 하기 싫어지더라. {laughing}","아 근데 아줌마들이 막 옆에서 겁나 해버리면 막 하기 싫어지더라. {laughing}"
"124","막 하기 싫어브러 막","막 하기 싫어져 막"
"125","왜냐믄 나는 잘 못하는데 옆에서 막 겁나 막 다리 막 겁나하니까 난 잘 못하니까","왜냐면 나는 잘 못하는데 옆에서 막 겁나 막 다리 막 겁나하니까 난 잘 못하니까"
"126","막 약간 위축 되갖고 막 하기 싫어.","막 약간 위축 되갖고 막 하기 싫어."
"127","근데 진짜 나도 원래 처음에 진짜 막 트레이너 트레이너 눈치까지 봤어.","근데 진짜 나도 원래 처음에 진짜 막 트레이너 트레이너 눈치까지 봤어."
"128","계속 헬스 트레이너 눈치까지 봤는데 인제 딱히 그런 거 신경 안 쓰고","계속 헬스 트레이너 눈치까지 봤는데 이제 딱히 그런 거 신경 안 쓰고"
"129","어차피 혼자 가도 신경 쓰는 사람 아무도 없더라고","어차피 혼자 가도 신경 쓰는 사람 아무도 없더라고"
"130","그래서 인제 아 이거 어차피 살 뺄 거 나 혼자 열심히 해서 빼자 약간 이런 생각으로","그래서 이제 아 이거 어차피 살 뺄 거 나 혼자 열심히 해서 빼자 약간 이런 생각으로"
"131","처음엔 눈치 엄청 봤었는데 인제 나중에는 별로 눈치 안 보고 막 옆에서 열심히 해도 나도 약간 좀 경쟁심 붙어가지고","처음엔 눈치 엄청 봤었는데 이제 나중에는 별로 눈치 안 보고 막 옆에서 열심히 해도 나도 약간 좀 경쟁심 붙어가지고"
"132","와 나도 열심히 해야 되겠다 막 쉬면 안 된다 하면서 막 계속하고 약간 그랬던 것 같다.","와 나도 열심히 해야 되겠다 막 쉬면 안 된다 하면서 막 계속하고 약간 그랬던 것 같다."
"133","아 근데 다이어트 방법이 너무 많아.","아 근데 다이어트 방법이 너무 많아."
"134","아 좀 쪼끔 –한- 한두 개만 있어도 내가 이거 할까 저거 할 깐데 너무 많으니깐","아 좀 쪼끔 –한- 한두 개만 있어도 내가 이거 할까 저거 할 건데 너무 많으니깐"
"135","이거 해야 되나 저거 해야 되나 그래가지고 너무 헷갈려 진짜로","이거 해야 되나 저거 해야 되나 그래가지고 너무 헷갈려 진짜로"
"136","너무 방법이 한 수백수천 가지는 되는 것 같애.","너무 방법이 한 수백수천 가지는 되는 것 같애."
"137","아 그치.","아 그치."
"138","근데 다이어트 방법 정말 많지만 최대한 건강하게 진짜 머리가","근데 다이어트 방법 정말 많지만 최대한 건강하게 진짜 머리가"
"139","나는 다이어트를 했는데 이제 –간- 나도 간헐적 단식이라고 진짜 열심히","나는 다이어트를 했는데 이제 –간- 나도 간헐적 단식이라고 진짜 열심히"
"140","막 일일 일식까지 하고 했는데 머리가 빠지는 거야.","막 일일 일식까지 하고 했는데 머리가 빠지는 거야."
"141","그래가지고 아오 진짜 안되겠다","그래가지고 아오 진짜 안되겠다"
"142","그래서 진짜 건강하게 해야 될 것 같아 다이어트는","그래서 진짜 건강하게 해야 될 것 같아 다이어트는"
"143","맞아 그거 진짜 에바야.","맞아 그거 진짜 에바야."
"144","근데 이게 좀 어려운 게 막 디톡스 다이어트 이런 거 알지","근데 이게 좀 어려운 게 막 디톡스 다이어트 이런 거 알지"
"145","인터넷 치면 겁나 많이 나온다고 이게","인터넷 치면 겁나 많이 나온다고 이게"
"146","디톡스 다이어트 레몬 디톡스 다이어트 막 이렇게 해가지고","디톡스 다이어트 레몬 디톡스 다이어트 막 이렇게 해가지고"
"147","근데 그런 거 보면은 하루에 한 잔만 마시면 오 키로 씩 빠집니다 막 이러니까","근데 그런 거 보면은 하루에 한 잔만 마시면 오 키로 씩 빠집니다 막 이러니까"
"148","솔직히 말하면 한 번 해보고 싶긴 하지","솔직히 말하면 한 번 해보고 싶긴 하지"
"149","돈 주고 사 보고 싶긴 하더라 다이어트 때문에","돈 주고 사 보고 싶긴 하더라 다이어트 때문에"
"150","아 근데 다이어트가 뭐 엄청 우리가 매체 같은 거 봐도 진짜로 진짜 상업적인 광고가 너무 많아.","아 근데 다이어트가 뭐 엄청 우리가 매체 같은 거 봐도 진짜로 진짜 상업적인 광고가 너무 많아."
"151","막 뭐 디톡스 다이어트 아까 말했듯이?","막 뭐 디톡스 다이어트 아까 말했듯이?"
"152","그런 것도 엄청 많고 근데 실질적인 다이어트 방법은 우리가 다 알고","그런 것도 엄청 많고 근데 실질적인 다이어트 방법은 우리가 다 알고"
"153","그냥 적게 먹고 많이 ((xx하는)) 거고 그냥 그렇게 하면은 되는데 진짜 그런 광고 같은 것도 엄청 많으니까","그냥 적게 먹고 많이 ((xx하는)) 거고 그냥 그렇게 하면은 되는데 진짜 그런 광고 같은 것도 엄청 많으니까"
"154","아 나 이거 해볼까?","아 나 이거 해볼까?"
"155","막 유튜브 같은데도 막 칼로커트 막 이런 거 뜨니까 아 나 이거 해볼까 하는데","막 유튜브 같은데도 막 칼로커트 막 이런 거 뜨니까 아 나 이거 해볼까 하는데"
"156","금액적인 부분도 그렇고 어 좀 이 방법도 아닌가 약간 자중하는 그런?","금액적인 부분도 그렇고 어 좀 이 방법도 아닌가 약간 자중하는 그런?"
"157","그런 게 있지.","그런 게 있지."
"158","맞아 인정이요 그건 그거는 인정이요.","맞아 인정이요 그건 그거는 인정이요."
"159","방법은 다 알어 다 안디 인제 그냥 해보고 싶어.","방법은 다 알어 다 아는데 이제 그냥 해보고 싶어."
"160","저거 하면 빨리 빠질 것 같거든 근데 저거 약간 사기인 건 나도 아는데 하는 거지","저거 하면 빨리 빠질 것 같거든 근데 저거 약간 사기인 건 나도 아는데 하는 거지"
"161","맞아.","맞아."
"162","근데 또 막상 오면은 인제 또 안 먹고 있다가 아 나 이때부터 먹어야지 하는데 또 인제 그게 반복이 되는 거지","근데 또 막상 오면은 이제 또 안 먹고 있다가 아 나 이때부터 먹어야지 하는데 또 이제 그게 반복이 되는 거지"
"163","아 이때부터 먹어야지 했는데 옆에서는 야 먹어 먹어 막 그러니까 계속 이게 반복되고","아 이때부터 먹어야지 했는데 옆에서는 야 먹어 먹어 막 그러니까 계속 이게 반복되고"
"164","그래가지고 인제 그 다이어트 약은 인제 유통기한 지나서 버릴 수밖에 없고","그래가지고 이제 그 다이어트 약은 이제 유통기한 지나서 버릴 수밖에 없고"
"165","인제 나는 살쪄 있고 그러니까 좀 스트레스 받아. {laughing}","이제 나는 살쪄 있고 그러니까 좀 스트레스 받아. {laughing}"
"166","맞아.","맞아."
"167","다이어트 진짜 옆에서 뭐라 하면 더 힘들어 근데","다이어트 진짜 옆에서 뭐라 하면 더 힘들어 근데"
"168","막 어 니 운동한디 왜 안 빠졌냐 이러면 할 말 없어.","막 어 너 운동하는데 왜 안 빠졌냐 이러면 할 말 없어."
"169","아 근데 진짜 옆에 사람들은 진짜 다이어트할 때 진짜 중요한 거 같긴 해.","아 근데 진짜 옆에 사람들은 진짜 다이어트할 때 진짜 중요한 거 같긴 해."
"170","막 가족들 같은 경우에도 막 옆에서 막 운동하고 집에 왔는데","막 가족들 같은 경우에도 막 옆에서 막 운동하고 집에 왔는데"
"171","어 &name1& 야 너 엄청 많이 살 빠졌다 그러면","어 &name1& 야 너 엄청 많이 살 빠졌다 그러면"
"172","어 맞아. {laughing}","어 맞아. {laughing}"
"173","엄청 행복한데 막 옆에서 어느 순간부터 &name1& 야 너 왜 살이 안 빠지냐","엄청 행복한데 막 옆에서 어느 순간부터 &name1& 야 너 왜 살이 안 빠지냐"
"174","약간 엄마가 이러면 엄청 스트레스 받아가지고 아 (()) 나는 나라는 사람은 열심히 하는데","약간 엄마가 이러면 엄청 스트레스 받아가지고 아 (()) 나는 나라는 사람은 열심히 하는데"
"175","왜 안 빠질까 약간 이런 생각이 겹쳐지면서","왜 안 빠질까 약간 이런 생각이 겹쳐지면서"
"176","인제 그게 훨씬 힘들어 그때","이제 그게 훨씬 힘들어 그때"
"177","약간 나는 운동(하믄서)/(하면서) 스트레스 풀라는 것도 있긴 한데","약간 나는 운동(하믄서)/(하면서) 스트레스 풀라는 것도 있긴 한데"
"178","운동이 아니라 다이어트다 생각을 하면은 그때부터 스트레스를 받는 것 같애.","운동이 아니라 다이어트다 생각을 하면은 그때부터 스트레스를 받는 것 같애."
"179","생각을 안 해야 되는데 다이어트라고 내가 딱 인식을 해버리니까","생각을 안 해야 되는데 다이어트라고 내가 딱 인식을 해버리니까"
"180","그니까 다이어트가 진짜로 뭐라 해야 되지","그니까 다이어트가 진짜로 뭐라 해야 되지"
"181","다이어트라는 게 자체가 솔직히 엄청난 스트레스 있고 엄청 막 해야 될 것 같고","다이어트라는 게 자체가 솔직히 엄청난 스트레스 있고 엄청 막 해야 될 것 같고"
"182","그래 진짜 운동할 때도 나도 운동하면서 진짜 재밌었거든?","그래 진짜 운동할 때도 나도 운동하면서 진짜 재밌었거든?"
"183","그냥 뭐 스피닝 타도 막 음악 틀어주면서 인제 막 하니까?","그냥 뭐 스피닝 타도 막 음악 틀어주면서 이제 막 하니까?"
"184","근데 다이어트라는 게 인제 다이어트를 해야 된다 생각하니까 확실히 인제 아침마다 맨날 몸무게 재야 되고","근데 다이어트라는 게 이제 다이어트를 해야 된다 생각하니까 확실히 이제 아침마다 맨날 몸무게 재야 되고"
"185","인제 식단 같은 것도 철저하게 지켜야 되고 이러니까","이제 식단 같은 것도 철저하게 지켜야 되고 이러니까"
"186","더 크게 생각하니까 나한테 너무 이렇게 날 압박하는 것 같다?","더 크게 생각하니까 나한테 너무 이렇게 날 압박하는 것 같다?"
"187","약간 이런 생각도 들어.","약간 이런 생각도 들어."
"188","그리고 헬스장 가면은 진짜 몸 좋은 사람들이 너무 많으니까","그리고 헬스장 가면은 진짜 몸 좋은 사람들이 너무 많으니까"
"189","그거 보고 이제 짜증 나는 거지","그거 보고 이제 짜증 나는 거지"
"190","스트레스 받고","스트레스 받고"
"191","나 신경 쓰면 어떡하지 난 몸 별로 안 좋은데 나 쳐다보면 어떡하지 막 그러니까","나 신경 쓰면 어떡하지 난 몸 별로 안 좋은데 나 쳐다보면 어떡하지 막 그러니까"
"192","헬스할 때 또 레깅스 얼마나 많이 사야 돼","헬스할 때 또 레깅스 얼마나 많이 사야 돼"
"193","레깅스도 사야 돼 운동화도 사야 돼 피트니스복도 사야 돼","레깅스도 사야 돼 운동화도 사야 돼 피트니스복도 사야 돼"
