"","chungcheong","seoul"
"30","특히 호떡같은 ((거를)) 내가 ((제일)) 좋아하긴 하는디 요즘은 호떡 파는 데가 별로 없어 가주구","특히 호떡같은 ((거를)) 내가 ((제일)) 좋아하긴 하는디 요즘은 호떡 파는 데가 별로 없어 가지고"
"31","그런 게 쪼금 슬프기도 하구","그런 게 조금 슬프기도 하구"
"32","지 진짜 밖에 포장마차 서가지고 오뎅 국물 마시면서","지 진짜 밖에 포장마차 서가지고 오뎅 국물 마시면서"
"33","오뎅국물에다가 떡볶이 같은 거 이제","오뎅국물에다가 떡볶이 같은 거 이제"
"34","한 접시 시켜 가지고 떡볶이 쪼끔씩 찍어먹고 튀김 같은 거 먹고","한 접시 시켜 가지고 떡볶이 조금씩 찍어먹고 튀김 같은 거 먹고"
"35","이런 게 진짜 좋단 말이여.","이런 게 진짜 좋단 말이야."
"36","그래서 나는 겨울에는 이렇게 먹는 게 좋고","그래서 나는 겨울에는 이렇게 먹는 게 좋고"
"37","-나- -내- -나- 나 같은 경우에는 이제 여름 겨울 상관없이 무조건","-나- -내- -나- 나 같은 경우에는 이제 여름 겨울 상관없이 무조건"
"38","아이스 아메리카노 먹는 편인디","아이스 아메리카노 먹는 편인데"
"39","이~ 가끔 이제 나는 원래 얼죽아 얼죽안디","이~ 가끔 이제 나는 원래 얼죽아 얼죽아인데"
"40","가끔 따뜻한 아메리카노가 먹고 싶을 때가 있단 말이여.","가끔 따뜻한 아메리카노가 먹고 싶을 때가 있단 말이야."
"41","약간 이제 목이 아프거나 그럴 때는 약간","약간 이제 목이 아프거나 그럴 때는 약간"
"42","따뜻한 아메리카노가 먹고 싶다는 생각이 많이 드는디","따뜻한 아메리카노가 먹고 싶다는 생각이 많이 드는데"
"43","어 그런거 아니고서는 나는 무조건 진짜 아이스 아메리카노 먹는 편이고","어 그런거 아니고서는 나는 무조건 진짜 아이스 아메리카노 먹는 편이고"
"44","이게 아이스 -아메- 아메리카노를 내가 좋아하는 이유가 아메리카노는 일단 싸기도 싸기도 하고","이게 아이스 -아메- 아메리카노를 내가 좋아하는 이유가 아메리카노는 일단 싸기도 싸기도 하고"
"45","그 다음에 이제 아메리카노 같은 경우에는","그 다음에 이제 아메리카노 같은 경우에는"
"46","칼로리도 칼로리도 되게 적단 말이여.","칼로리도 칼로리도 되게 적단 말이야."
"47","그래서 그래서 여름 겨울 상관없이 무조건 나는","그래서 그래서 여름 겨울 상관없이 무조건 나는"
"48","아메리카노를 먹을라고 하는 편이긴 하지.","아메리카노를 먹으려고 하는 편이긴 하지."
"49","음~ 특히 아이스 아메리카노 먹을라고 하는 편이긴 하지.","음~ 특히 아이스 아메리카노 먹을라고 하는 편이긴 하지."
"50","그래서 나는 이제 계절에 따라서 옷도 조금 이자 바뀌잖여.","그래서 나는 이제 계절에 따라서 옷도 조금 이제 바뀌잖아."
"51","근데 겨울에는 여름보다 좋은 게","근데 겨울에는 여름보다 좋은 게"
"52","뭐 되게 껴입는 게 많아서 체형 보완이 많이 된단 말이여.","뭐 되게 껴입는 게 많아서 체형 보완이 많이 된단 말이야."
"53","이제 살 찌는 사람도 살이 조금 덜 쪄 보이고","이제 살 찌는 사람도 살이 조금 덜 쪄 보이고"
"54","야 -마- 진짜 마른 사람도 좀 덩치가 있어 있어보이게 하고 약간 그런단 말이여.","야 -마- 진짜 마른 사람도 좀 덩치가 있어 있어보이게 하고 약간 그런단 말이야."
"55","그래서 겨울이 좋긴 한디","그래서 겨울이 좋긴 한데"
"56","이제 여름은 또 내가 평소에 도전하지 못하는 색을 도전할 수 있는 그런 장점?","이제 여름은 또 내가 평소에 도전하지 못하는 색을 도전할 수 있는 그런 장점?"
"57","좀 이제 좀 뭐라 해야 될까?","좀 이제 좀 뭐라 해야 될까?"
"58","그 튀는 색깔 있잖여.","그 튀는 색깔 있잖아."
"59","근데 그게 겨울에 입으면은 되게 어색한디","근데 그게 겨울에 입으면은 되게 어색한데"
"60","여름에 입으면 어색하지 않고 아 진짜 여름에 여름스럽게 입었다.","여름에 입으면 어색하지 않고 아 진짜 여름에 여름스럽게 입었다."
"61","약간 이런 생각이 들 수 있게 한단 말이여.","약간 이런 생각이 들 수 있게 한단 말이야."
"62","그래서 나는 이제 보통은 이제 원래 반바지를 옛날에 많이 입었었는디","그래서 나는 이제 보통은 이제 원래 반바지를 옛날에 많이 입었었는데"
"63","반바지 같은 경우에는 이제 내가 옷을 이제 조금씩 알아 알아가다 보니까","반바지 같은 경우에는 이제 내가 옷을 이제 조금씩 알아 알아가다 보니까"
"64","체형이 진짜 몸 자체의 비율이 좋은 사람이 아니면 반바지는 별로 안 어울린단 말이여.","체형이 진짜 몸 자체의 비율이 좋은 사람이 아니면 반바지는 별로 안 어울린단 말이야."
"65","이게 왜그러냐면 그~ 확실히 그~ 뭐시여.","이게 왜그러냐면 그~ 확실히 그~ 뭐야."
"66","그~ 그~ 좀 안좋은게 다리가 일단 짧아 보이고","그~ 그~ 좀 안좋은게 다리가 일단 짧아 보이고"
"67","그다음에 다리 털 같은 것도 관리 해줘야되서 되게 귀찮단 말이여.","그다음에 다리 털 같은 것도 관리 해줘야되서 되게 귀찮단 말이야."
"68","그래서 나두 요즘에는 여름에는 얇은 바지 긴 바지를 입는단 말이여.","그래서 나두 요즘에는 여름에는 얇은 바지 긴 바지를 입는단 말이야."
"69","청바지나 약간 그런 게 체형보완도 더 좋고","청바지나 약간 그런 게 체형보완도 더 좋고"
"70","그 다음에 또 은근 여름에 반팔에 긴바지 입으면 스타일리쉬한 맛도 되게 산단 말이여.","그 다음에 또 은근 여름에 반팔에 긴바지 입으면 스타일리쉬한 맛도 되게 산단 말이야."
"71","반바지는 스타일리쉬한 맛이 별로 안 살기 때문에","반바지는 스타일리쉬한 맛이 별로 안 살기 때문에"
"72","여름에는 좀 더워도 나는 반바지 입을라고 하는 편이고","여름에는 좀 더워도 나는 반바지 입을라고 하는 편이고"
"73","그리고 요즘에는 생각보다 또 여름이 그렇게 덥지 않아 가주구","그리고 요즘에는 생각보다 또 여름이 그렇게 덥지 않아 가지고"
"74","옛날에는 진짜 많이 더웠는디","옛날에는 진짜 많이 더웠는데"
"75","요즘 여름은 그래도","요즘 여름은 그래도"
"76","더운 거에 비해서는 옛날 더운 거에 비해선 별로 안 덥다고 생각 해 가주구","더운 거에 비해서는 옛날 더운 거에 비해선 별로 안 덥다고 생각 해 가지고"
"77","생각보다 긴바지나 반팔을 입을 만 하더라고","생각보다 긴바지나 반팔을 입을 만 하더라고"
"78","그래서 그렇게 입고","그래서 그렇게 입고"
"79","겨울에는 좀 음~ 그래도 진짜 어떻게 반팔만 반팔에 반바지 입고 댕기겠어.","겨울에는 좀 음~ 그래도 진짜 어떻게 반팔만 반팔에 반바지 입고 다니겠어."
"80","그래서 무조건 껴 입는 편이고","그래서 무조건 껴 입는 편이고"
"81","음~ 근데 뭐 가을 같은 경우에는 뭐 위에 긴 팔 아래 반바지 뭐","음~ 근데 뭐 가을 같은 경우에는 뭐 위에 긴 팔 아래 반바지 뭐"
"82","아래에 흰 바지에 위에 반팔 뭐 이렇게 그냥","아래에 흰 바지에 위에 반팔 뭐 이렇게 그냥"
"83","돌아가서 돌아가면서 하는 편이긴 하지.","돌아가서 돌아가면서 하는 편이긴 하지."
"84","음~ 그래서 막 나는 보통 여름이 오면은","음~ 그래서 막 나는 보통 여름이 오면은"
"85","여름 오기 전에 준비하는 것 들이 좀 있으면은 나는","여름 오기 전에 준비하는 것 들이 좀 있으면은 나는"
"86","무조건 계절이 바뀌면은 옷을 산단 말이여.","무조건 계절이 바뀌면은 옷을 산단 말이야."
"87","그래서 좀 옷 정 옷장 정리도 한번 하고 그 다음에 어~ 여름 오면 여름 옷 사고","그래서 좀 옷 정 옷장 정리도 한번 하고 그 다음에 어~ 여름 오면 여름 옷 사고"
"88","-갸- 가을은 가을이나 봄 같은 경우는 이제 여름 옷이랑","-갸- 가을은 가을이나 봄 같은 경우는 이제 여름 옷이랑"
"89","겨울옷이랑 좀 짬뽕에서 입으면 되기 때문에.","겨울옷이랑 좀 짬뽕에서 입으면 되기 때문에."
"90","딱히 뭐 살 필요는 없고","딱히 뭐 살 필요는 없고"
"91","음~ 그런단 말이여.","음~ 그런단 말이야."
"92","그래서 뭐 여 계절이 바뀌어서 딴 걸 뭐 준비해서 입는다.","그래서 뭐 여 계절이 바뀌어서 딴 걸 뭐 준비해서 입는다."
"93","약간 이런 준비한다기보다는 그냥","약간 이런 준비한다기보다는 그냥"
"94","어 그냥 그때 맞는 그런 걸 해야 될 해야 되지 않나 이렇게 생각을 한단 말이여.","어 그냥 그때 맞는 그런 걸 해야 될 해야 되지 않나 이렇게 생각을 한단 말이야."
"95","그래서 여름에는 보통 양말을 신지 않잖여 그래서","그래서 여름에는 보통 양말을 신지 않잖아 그래서"
"96","발 냄새가 나지 않을까 걱정을 한다고 하는디 나는","발 냄새가 나지 않을까 걱정을 한다고 하는데 나는"
"97","발 냄새가 안 날 것 같다는 생각을 좀 한단 말이여 왜냐면","발 냄새가 안 날 것 같다는 생각을 좀 한단 말이야 왜냐하면"
"98","보통 양말을 안 신는 거면은 샌들을 신거나 슬리퍼를 신을때만 양말을 난 안 신는 편이란 말이여?","보통 양말을 안 신는 거면은 샌들을 신거나 슬리퍼를 신을때만 양말을 난 안 신는 편이란 말이야?"
"99","근데 운동화 신을 때도 양말을 안 신으면 좀 불편하기도 하고","근데 운동화 신을 때도 양말을 안 신으면 좀 불편하기도 하고"
"100","그다음 그다음에 무조건 양말을 신어야 된단 말이여.","그다음 그다음에 무조건 양말을 신어야 된단 말이야."
"101","운동화 신을 때 나는","운동화 신을 때 나는"
"102","그래서 뭐 어~","그래서 뭐 어~"
"103","샌달이나 슬리퍼 같은 경우에는 환기가 되게 잘되는 편이라고 이라고 나는 생각을 해 가주구","샌달이나 슬리퍼 같은 경우에는 환기가 되게 잘되는 편이라고 이라고 나는 생각을 해 가지고"
"104","여름에 양말을 신어서 신지 않아서 발 냄새 날 생각은 별로 안 한단 말이여.","여름에 양말을 신어서 신지 않아서 발 냄새 날 생각은 별로 안 한단 말이야."
"105","그리고 내가 좀 몸에서 냄새가 좀 덜 나는 편이여 가주구","그리고 내가 좀 몸에서 냄새가 좀 덜 나는 편이여 가지고"
"106","어~ 그런 막 몸에서 냄새 난다 약간 이런걸로 걱정을 해 본 그런 것은 별로 없는 것 같여.","어~ 그런 막 몸에서 냄새 난다 약간 이런걸로 걱정을 해 본 그런 것은 별로 없는 것 같아."
"107","근데 진짜 옛날에는 진짜 뭐~ 장마 하면은 비도 진짜 많이 오고 그랬었는디 요즘에는 요번에는 뭐","근데 진짜 옛날에는 진짜 뭐~ 장마 하면은 비도 진짜 많이 오고 그랬었는데 요즘에는 요번에는 뭐"
"108","막 장마에 와서 비가 많이 오기는 했었는디","막 장마에 와서 비가 많이 오기는 했었는데"
"109","음~ 근데 막 태풍이 온다 온다 했는디","음~ 근데 막 태풍이 온다 온다 했는데"
"110","대전에 태풍이 내가 진짜 크게 왔다고 생각한 게 진짜 별로 없단 말이여?","대전에 태풍이 내가 진짜 크게 왔다고 생각한 게 진짜 별로 없단 말이야?"
"111","옛날에 뭐~ 그~ 나 고등학교 때 또 말이여.","옛날에 뭐~ 그~ 나 고등학교 때 또 말이야."
"112","막 태풍 큰거 온다해서 학교도 막 전 쉬고 그랬었는디","막 태풍 큰거 온다해서 학교도 막 전 쉬고 그랬었는데"
"113","막상 당일되니까 태풍 응~ 하나도 안 나오 안오고 뭐 날씨는 멀쩡 했단 말이여.","막상 당일되니까 태풍 응~ 하나도 안 나오 안오고 뭐 날씨는 멀쩡 했단 말이야."
"114","그래서 그때 이제 그때부터 이제 태풍 온다고 막 그랬던 적 없는 것 같고","그래서 그때 이제 그때부터 이제 태풍 온다고 막 그랬던 적 없는 것 같고"
"115","옛날엔 진짜 태풍 크게 와 가지고 막","옛날엔 진짜 태풍 크게 와 가지고 막"
"116","진짜 내가 생각 했을 때 대전에서 가장 크게 온 적이 있었단 말이여.","진짜 내가 생각 했을 때 대전에서 가장 크게 온 적이 있었단 말이야."
"117","그래서 그때 이제 태권도 다니고 있었는디 태권도","그래서 그때 이제 태권도 다니고 있었는데 태권도"
"118","에 막 물 새가지고 태권도에 가가지고 같이","에 막 물 새가지고 태권도에 가가지고 같이"
"119","애들이랑 태권도 바닥 물 닦고 막 그랬던 기억이 있는디","애들이랑 태권도 바닥 물 닦고 막 그랬던 기억이 있는데"
"120","근디 그럼에도 불구하고 그때도 이제","그런데 그럼에도 불구하고 그때도 이제"
"121","어른들은 직장을 나가기 때문에 난 집에서 혼자 있었단 말이여?","어른들은 직장을 나가기 때문에 난 집에서 혼자 있었단 말이야?"
"122","동생이랑?","동생이랑?"
"123","그래서 피시방 가고 막 그랬단 말이여.","그래서 피시방 가고 막 그랬단 말이야."
"124","비오는디.","비오는데."
"125","애들이랑 만나서","애들이랑 만나서"
"126","근데 그런 거 보면은 진짜 어~ 뭐 학교가 위 학교 간다고 해서 위험하거나 그런 일이 없을 거 같긴 한디","근데 그런 거 보면은 진짜 어~ 뭐 학교가 위 학교 간다고 해서 위험하거나 그런 일이 없을 거 같긴 한데"
"127","왜냐면 우리 다 나가서 피시방 가고 막 그냥 놀고 막 그랬단 말이여.","왜냐면 우리 다 나가서 피시방 가고 막 그냥 놀고 막 그랬단 말이야."
"128","실내에서 -밖- 근데 일단 밖에 집밖에 나간다는 게","실내에서 -밖- 근데 일단 밖에 집밖에 나간다는 게"
"129","쫌 그런거긴 하지.","좀 그런거긴 하지."
"130","음~ 그래 가주구","음~ 그래 가지고"
"131","어~ 요즘에는 비가 오는 날","어~ 요즘에는 비가 오는 날"
"132","그런 게 뭐~ 좀 어~ 많이 왔다고 생각한 적이 별로 없다고 나는 생각혀.","그런 게 뭐~ 좀 어~ 많이 왔다고 생각한 적이 별로 없다고 나는 생각해."
"133","어~ 그래서 어~ 이~ 너무 좋고","어~ 그래서 어~ 이~ 너무 좋고"
"134","특히 대전은 이제 비 같은 거는 잘 크게 안 내리기 때문에 뭔가 대전이 중심에 있어서 그런가","특히 대전은 이제 비 같은 거는 잘 크게 안 내리기 때문에 뭔가 대전이 중심에 있어서 그런가"
"135","이게 비가 오는 기단은 바다를 만나면 더 커지긴 하는 디","이게 비가 오는 기단은 바다를 만나면 더 커지긴 하는 데"
"136","땅을 만날 때부터 이제 쪼끔씩 줄어든단 말이여 이게 기단이","땅을 만날 때부터 이제 조금씩 줄어든단 말이야 이게 기단이"
"137","그래서 그런가 이제 -내- -국- 국내 내부로 들어올 때는","그래서 그런가 이제 -내- -국- 국내 내부로 들어올 때는"
"138","대전이 가운데 쪽에 있어서 태풍이나 뭐","대전이 가운데 쪽에 있어서 태풍이나 뭐"
"139","비 오는 그런 기단이 되게","비 오는 그런 기단이 되게"
"140","많이 약해져서 들어오기 때문에 비가 와도 되게 쪼끔 쪼끔씩 내리거나","많이 약해져서 들어오기 때문에 비가 와도 되게 조금 조금씩 내리거나"
"141","아니면 진짜 뭐 바닷가","아니면 진짜 뭐 바닷가"
"142","에 비에 바람도 좀 바람세기도 쩍고 물 강수량은 되게 쩍게 이렇게 오는 편이란 말이여.","에 비에 바람도 좀 바람세기도 쩍고 물 강수량은 되게 쩍게 이렇게 오는 편이란 말이야."
"143","그래서 대전 살기가 좋은 점이 또 (()) 여름에","그래서 대전 살기가 좋은 점이 또 (()) 여름에"
"144","뭐~ 막 비나 태풍 이런 거의 피해가 좀 적은 편이여 가주구","뭐~ 막 비나 태풍 이런 거의 피해가 좀 적은 편이여 가지고"
"145","뭐~ 여름에는 막 진짜 바닷가에 사는 사람처럼 그렇게","뭐~ 여름에는 막 진짜 바닷가에 사는 사람처럼 그렇게"
"146","많이 그런 태풍을 직격으로 맞아본 적이 별로 없는 것 같애서","많이 그런 태풍을 직격으로 맞아본 적이 별로 없는 것 같애서"
"147","그래서 나는 옛날에 뉴스에서 막 인제 얘","그래서 나는 옛날에 뉴스에서 막 인제 얘"
"148","태풍 같은 거 와가지고 막 날라가는 거 보면 다 거짓말인 줄 알았는디","태풍 같은 거 와가지고 막 날라가는 거 보면 다 거짓말인 줄 알았는데"
"149","응~ 요즘에는 진짜 인 거 알아서","응~ 요즘에는 진짜 인 거 알아서"
"150","어~ 진짜 어~태풍 심각하구나 약간 이런 거를 조금","어~ 진짜 어~태풍 심각하구나 약간 이런 거를 조금"
"151","음~ 그렇게 하는 편인 것 같여.","음~ 그렇게 하는 편인 것 같아."
"152","그래 가지고 이제 여름에는 그렇고 봄에는 이제","그래 가지고 이제 여름에는 그렇고 봄에는 이제"
"153","봄에 제일 좋은 게 뭐여.","봄에 제일 좋은 게 뭐야."
"154","벚꽃이 피잖여.","벚꽃이 피잖아."
"155","그래서 나는 벚꽃 펴 가주구 벚꽃 보러 가는것두 좋아하는디","그래서 나는 벚꽃 펴 가지고 벚꽃 보러 가는것두 좋아하는데"
"156","우리 집 근처에는 이제 벚꽃이 많이 피는 데가","우리 집 근처에는 이제 벚꽃이 많이 피는 데가"
"157","충남대나 뭐 카이스트 아니면은 또 한밭수목원은 별로 없구","충남대나 뭐 카이스트 아니면은 또 한밭수목원은 별로 없구"
"158","이제 카이스트 뒤편에 유성도서관인가 그게 있단 말이여?","이제 카이스트 뒤편에 유성도서관인가 그게 있단 말이야?"
"159","근데 거기 앞쪽에 이제 거리가 있는디","근데 거기 앞쪽에 이제 거리가 있는데"
"160","벚꽃이 거기가 되게 많이 펴 있어.","벚꽃이 거기가 되게 많이 펴 있어."
"161","거기서 은근 사람도 많이 오고 그러는디","거기서 은근 사람도 많이 오고 그러는데"
"162","거기를 모르는 사람이 꽤 많단 말이여 생각보다","거기를 모르는 사람이 꽤 많단 말이야 생각보다"
"163","응~ 거기가 이제 벚꽃 핫플 있구","응~ 거기가 이제 벚꽃 핫플 있구"
"164","뭐~ 한남대도 많이 피구 음~ 뭐 그런디","뭐~ 한남대도 많이 피구 음~ 뭐 그런디"
"165","생각보다 대전은 그냥 뭐 길 가다가 많이","생각보다 대전은 그냥 뭐 길 가다가 많이"
"166","펴가주구 그냥 벚꽃 보기는 괜찮은 편이기도 하고","펴가지고 그냥 벚꽃 보기는 괜찮은 편이기도 하고"
"167","어~ 그 다음 벚꽃은 또 여자친구 있을 때 보러가는게 좀 좋긴 해서","어~ 그 다음 벚꽃은 또 여자친구 있을 때 보러가는게 좀 좋긴 해서"
"168","어~ 봄에 여자 친구 사귀는 것을 (()) 굉장히 추천하기도 하고","어~ 봄에 여자 친구 사귀는 것을 (()) 굉장히 추천하기도 하고"
"169","왜냐하면 여자친구 생기면 데이트 할 그런 곳이 생각보다 많지 않단 말이여.","왜냐하면 여자친구 생기면 데이트 할 그런 곳이 생각보다 많지 않단 말이야."
"170","오래 사귀면 그래서 일년에 몇번 안 오는 벚꽃 같은 거 보러 가는것도 좋기도 하고","오래 사귀면 그래서 일년에 몇번 안 오는 벚꽃 같은 거 보러 가는것도 좋기도 하고"
"171","음~ 그리고 가을에는 핑크뮬리나 막 갈대 같은 거 보면 되게 좋단 말이여.","음~ 그리고 가을에는 핑크뮬리나 막 갈대 같은 거 보면 되게 좋단 말이야."
"172","근데 이제 핑크뮬리는 요즘에 좀 나라에서 좀 없앨려고 하는디 이게","근데 이제 핑크뮬리는 요즘에 좀 나라에서 좀 없앨려고 하는데 이게"
"173","그~ 뭐야 외래종이어(가주구)/(가지고)","그~ 뭐야 외래종이어(가주구)/(가지고)"
"174","-유- 우리 국내종한테 되게 유해하단 말이여.","-유- 우리 국내종한테 되게 유해하단 말이야."
"175","그래서 -구- 그~ 뭐야.","그래서 -구- 그~ 뭐야."
"176","국가 입장에서는 이제 외래종이고 막 그렇게 위해한 그거니까 되게","국가 입장에서는 이제 외래종이고 막 그렇게 위해한 그거니까 되게"
"177","안 안 할라고 하는디 사람들이 하도 많이 찾으니까","안 안 할라고 하는데 사람들이 하도 많이 찾으니까"
"178","이게 사유지에서 많이 길러(가주구)/(가지고)","이게 사유지에서 많이 길러(가주구)/(가지고)"
"179","개방시켜서 뭐~ 하는 경우도 되게 많고 그렇단 말이여.","개방시켜서 뭐~ 하는 경우도 되게 많고 그렇단 말이야."
"180","그래서 근데 핑크뮬리가 나는 요번 년도에 처음 봤는(디)/(데) 진짜 이쁘긴 하더라고","그래서 근데 핑크뮬리가 나는 이번 년도에 처음 봤는(디)/(데) 진짜 이쁘긴 하더라고"
"181","핑크뮬리가 약간 질 무렵 쯤 갔는데도 이뻤는(디)/(데)","핑크뮬리가 약간 질 무렵 쯤 갔는데도 이뻤는(디)/(데)"
"182","이 만개했을 때 가면 얼마나 예쁠 까 진짜 궁금하고","이 만개했을 때 가면 얼마나 예쁠 까 진짜 궁금하고"
"183","대쩐엔 대전에는 대청댐 쪽에 이제 핑크뮬리이나 법","대쩐엔 대전에는 대청댐 쪽에 이제 핑크뮬리이나 법"
"184","봄에는 벚꽃 가을에는 핑크뮬리 갈대 이런 거 되게 많이 핀단 말이여.","봄에는 벚꽃 가을에는 핑크뮬리 갈대 이런 거 되게 많이 핀단 말이야."
"185","그래서 그런 거 보러 가는 것도 좋고 된 대청댐 이제 로하스에 쪽에","그래서 그런 거 보러 가는 것도 좋고 된 대청댐 이제 로하스에 쪽에"
"186","되게 많단 말이여 그래서","되게 많단 말이야 그래서"
"187","음~ 그렇게 보러가는 거 좋아하고","음~ 그렇게 보러가는 거 좋아하고"
"188","여름에는 꽃 이런건 많이 없으니께","여름에는 꽃 이런건 많이 없으니까"
"189","그냥 뭐~ 바닷가 가서 수영한다거나","그냥 뭐~ 바닷가 가서 수영한다거나"
"190","워터파크 가는거나 이러면 좋은디 요즘에는 또","워터파크 가는거나 이러면 좋은데 요즘에는 또"
"191","어~ 별로 뭐야.","어~ 별로 뭐야."
"192","코로나 때문에 갈 일이 없어가지고 쪼끔 아쉽긴 혀.","코로나 때문에 갈 일이 없어가지고 조금 아쉽긴 해."
"193","어~ 근데 이제 여름에 바다나 계곡을 간다고 가잖여.","어~ 근데 이제 여름에 바다나 계곡을 간다고 가잖아."
"194","근데 나는 바다는 이제 별로","근데 나는 바다는 이제 별로"
"195","그 수영하는 거는 싫어한다는 편이야.","그 수영하는 거는 싫어한다는 편이야."
"196","바다수영은 물이 짜 가주구 별로 안 좋아하기도 하고","바다수영은 물이 짜 가지고 별로 안 좋아하기도 하고"
"197","근데 물이 또 더러운 편이잖여?","근데 물이 또 더러운 편이잖아?"
"198","뭐라해야될지 맑은 그런 물이 아니라 쪼끔","뭐라해야될지 맑은 그런 물이 아니라 조금"
"199","바닷물은 쪼꼼 이게 탁한 편이잖여?","바닷물은 조금 이게 탁한 편이잖아?"
"200","그래서 바다에서 수영하는 걸 별로 안 좋아하고 나는 차라리","그래서 바다에서 수영하는 걸 별로 안 좋아하고 나는 차라리"
"201","수영은 계곡에서 하는 거 되게 좋아한단 말이여?","수영은 계곡에서 하는 거 되게 좋아한단 말이야?"
"202","계곡은 물도 맑고 약간 산에 있어서 그런가 되게 좀 쾌적한 ((환경))인 것 같기도 하고 막 그렇단 말이여.","계곡은 물도 맑고 약간 산에 있어서 그런가 되게 좀 쾌적한 ((환경))인 것 같기도 하고 막 그렇단 말이야."
"203","그래서 바다보다는 난 계곡을 쪼끔 더 선호하고","그래서 바다보다는 난 계곡을 조금 더 선호하고"
"204","((근데)) 겨울에는 바다보는 걸 되게 좋아혀.","((근데)) 겨울에는 바다보는 걸 되게 좋아해."
"205","겨울에 계곡 보는 것보다 겨울에 바다보는게","겨울에 계곡 보는 것보다 겨울에 바다보는게"
"206","훨씬 더 낭만있고 약간 겨울바다가 난 더 좋아한단 말이여.","훨씬 더 낭만있고 약간 겨울바다가 난 더 좋아한단 말이야."
