"","jeju","seoul"
"191","처음에는 이렇게 그냥 갈대가 너무 우거지니까","처음에는 이렇게 그냥 갈대가 너무 우거지니까"
"192","그냥 쭉 그 길로 가신디","그냥 쭉 그 길로 갔는데"
"193","나중에 대록산 영올라가는","나중에 대록산 이렇게올라가는"
"194","몇분걸려 정상가는데","몇분걸려 정상가는데"
"195","정상으로 영 가난예 거기 보다 밑에가예 이렇게 십자 모양으로 해 가지고","정상으로 이렇게 가니까요 거기 보다 밑에가요 이렇게 십자 모양으로 해 가지고"
"196","억새가 이렇게 널려져 있는데","억새가 이렇게 널려져 있는데"
"197","와 너무너무 예뻐가지고예","와 너무너무 예뻐가지고예"
"198","몇분걸려?","몇분걸려?"
"199","크고 올라가는데 그것도 한시간 되나마나 어","크고 올라가는데 그것도 한시간 되나마나 어"
"200","금방이다이","금방이네"
"201","금방마씨","금방이네요"
"202","왔다갔다 두시간","왔다갔다 두시간"
"203","어어","어어"
"204","거기뭐 앉앙예 차마시고 할것도 없고 정상가지 올라강","거기뭐 앉아서 차마시고 할것도 없고 정상가지 올라가서"
"205","거기서 저 뭐냐 물 먹고 차 마시고","거기서 저 뭐냐 물 먹고 차 마시고"
"206","새별오름 고추룩행","새별오름 같이해서"
"207","금방","금방"
"208","나가 새별오름을 안가봔","나가 새별오름을 안가봤어"
"209","가봐야되크라","가봐야되크라"
"210","겡 거기 대록산","그래서 거기 대록산"
"211","새별오름은","새별오름은"
"212","그 옛날에 거기 호텔인가 해놔서 호텔 하나 이서나서","그 옛날에 거기 호텔인가 해놔서 호텔 하나 있엇어"
"213","음","음"
"214","말도 타나고 옆에 호텔 이서나신디","말도 탔었고 옆에 호텔 있었는데"
"215","그거 다 치워부렁 커피숍 만들엉게","그거 다 치워버리고 커피숍 만들었어"
"216","&name3&(영도)/(랑도) 몇 번 갔다와신디","&name3&(영도)/(랑도) 몇 번 갔다왔는데"
"217","&name3& 막 커피숍 좋아하주게","&name3& 막 커피숍 좋아하주게"
"218","거기는 막 시간 짧잖아예 새별오름은예 한 삼십분?","거기는 막 시간 짧잖아예 새별오름은예 한 삼십분?"
"219","삼사십분","삼사십분"
"220","삼사십분 가까우면 거기도 한번","삼사십분 가까우면 거기도 한번"
"221","가봐봐 그 커피숍이 좋아 너무좋아","가봐봐 그 커피숍이 좋아 너무좋아"
"222","뷰도 좋구나","뷰도 좋구나"
"223","뷰도 좋을뿐 아니고 그뭐 좋아 빵","뷰도 좋을뿐 아니고 그뭐 좋아 빵"
"224","거기도 이제 관광객 막 고득고득 다녀지는거아니?","거기도 이제 관광객 막 가득가득 다녀지는거아니?"
"225","게메","그러게"
"226","뭐 안 시켜도 돼 우린 시켰는데 안시킨 사람도 수두락해서","뭐 안 시켜도 돼 우린 시켰는데 안시킨 사람도 많아"
"227","혹시 산에 못가도 거기라도 가보게마씨","혹시 산에 못가도 거기라도 가봐요"
"228","거피마시래","거피마시래"
"229","(())랑 가까우난 (()) 여기","(())랑 가까우니까 (()) 여기"
"230","커피숍도 좋은데 하서이","커피숍도 좋은데 많아"
"231","제주도에 완전 이제는예","제주도에 완전 이제는요"
"232","우리 친구","우리 친구"
"233","이십대때","이십대때"
"234","제주까지 있당 성올라강 살아","제주까지 있당 성올라강 살아"
"235","살았거든 에 겡/(내려왔는데)","살았거든 에 ) 그아이가 어쩌다가 요번에 몇십년만에 (내려와신디/(내려왔는데)"
"236","제주도가 다 변해부렁","제주도가 다 변해서"
"237","도시같이 되난 자기 너무 안 좋대","도시같이 되니까 자기 너무 안 좋대"
"238","옛날에 제주도 -정- 겅안해나신디","옛날에 제주도 -정- 그렇게 안했었는데"
"239","그 옛날 제주도의 그 소박한 것이 다 사라져부렀댄","그 옛날 제주도의 그 소박한 것이 다 사라져버렸대"
"240","우린 매일 여기 사난","우린 매일 여기 사니까"
"241","올해는 그냥 그런 거 생기나 그냥 아이고 좋다 영 생각해신디","올해는 그냥 그런 거 생기나 그냥 아이고 좋다 이렇게 생각했는데"
"242","근데 그게 사실은 그 관광객들을 위한예 저거주 마씀","근데 그게 사실은 그 관광객들을 위한예 저거주 마씀"
"243","근데 뭐 어떵할거라 원래 제주도가","근데 뭐 어떻게 할거야 원래 제주도가"
"244","장사도 안됨실거여 너무 많아부난","장사도 안될고 있을거다 너무 많아서"
"245","(())그거야 어쩔 수 없는 노릇이고","(())그거야 어쩔 수 없는 노릇이고"
"246","아무튼 그","아무튼 그"
"247","그 진짜 좋아하는 시크 수트들 다 제주도는","그 진짜 좋아하는 시크 수트들 다 제주도는"
"248","거기뿐만이 아니고","거기뿐만이 아니고"
"249","난 어디도 좋아라 삼다수","난 어디도 좋아라 삼다수"
"250","삼다수 숲길예","삼다수 숲길예"
"251","거기서 뭐만났데 저 맷돼지","거기서 뭐만났데 저 맷돼지"
"252","멧돼지 만났대 사람들이","멧돼지 만났대 사람들이"
"253","아니 그 저 한라생태숲도예 가면예","아니 그 저 한라생태숲도요 가면요"
"254","-노루노루- 노루랜 합니까 그 노루 닮은 아이 있잖아마씨","-노루노루- 노루라고 합니까 그 노루 닮은 아이 있잖아요"
"255","-가이가이- 가이보고 뭐랜하더라","-가이가이- 걔보고 뭐랜하더라"
"256","노루 노루를 뭐랜하더라 사슴도 아니고이","노루 노루를 뭐랜하더라 사슴도 아니고이"
"257","약간 약간 그 정말 그아이네도 이서마씨","약간 약간 그 정말 그아이네도 있어요"
"258","멧돼지","멧돼지"
"259","삼다수 숲길에 맷돼지 이신디 맷돼지 만나면 죽은","삼다수 숲길에 맷돼지 이신디 맷돼지 만나면 죽은"
"260","나무처럼 가만히 이시랜 움직이지 마랑","나무처럼 가만히 있으래 움직이지 말고"
"261","달려들 카부댄예","달려들 까봐요"
"262","겁낭하지도 말고 죽은 나무처럼","겁나하지도 말고 죽은 나무처럼"
"263","가만히 이시면","가만히 있으면 "
"264","맞아맞아 그러면 그냥 지나가는데","맞아맞아 그러면 그냥 지나가는데"
"265","그냥 지나갔댄","그냥 지나갔에"
"266","(())","(())"
"267","게난 돼지들이얘 그성질이 급해부난얘 겅한댄","그러니까 돼지들이요 그성질이 급해버려서 그런데"
"268","나 어디도 갔다왔져","나 어디도 갔다왔어"
"269","무슨 아유 무슨 길이니","무슨 아유 무슨 길이니"
"270","어느 쪽에 있는거마씨?","어느 쪽에 있는거요?"
"271","동쪽에","동쪽에"
"272","동백동산","동백동산"
"273","동백동산 동백동산","동백동산 동백동산"
"274","난 동백동산이라 동백꽃만가득 필줄알안","난 동백동산이라 동백꽃만가득 필줄알았어"
"275","아니?","아니?"
"276","그냥 숲길 {laughing}","그냥 숲길 {laughing}"
"277","거는 동백꽃 -피는 이제 이제- 겨울에 동백꽃이 피잖아 마씨","거는 동백꽃 -피는 이제 이제- 겨울에 동백꽃이 피잖아 마씨"
"278","이럴 때 가야지 이제 피기 시작할 때 원래 동백이 겨울 그때 아니 무사예","이럴 때 가야지 이제 피기 시작할 때 원래 동백이 겨울 그때 아니 왜요"
"279","겅하니까 그때 가야지","그러니까 그때 가야지"
"280","가그네 뱀만 만났져","가서 뱀만 만났다"
"281","{laughing}","{laughing}"
"282","죽는줄알았져","죽는줄알았다"
"283","무소와","무서워"
"284","뭐 너무 무서워","뭐 너무 무서워"
"285","어디도 좋아 서귀포 휴양림","어디도 좋아 서귀포 휴양림"
"286","자연휴양림예 우리 애기들 어릴 때에 거기에 텐트청예","자연휴양림요 우리 애기들 어릴 때에 거기에 탠트처서요"
"287","좋았겠다","좋았겠다"
"288","-잠- 잠자난마씨 고기 구워 먹고","-잠- 잠잤었어요 고기 구워 먹고"
"289","그 근데 아직도 거 거기 물 흘럼신가 모르쿠다 그때도 물이예","그 근데 아직도 거 거기 물 흐르는지 모르겠어요 그때도 물이요"
"290","많지는 않았거든마씨","많지는 않았거든요"
"291","물 흐르는거 안봐봔 -막 저기 홍-","물 흐르는거 안봐봤어 -막 저기 홍-"
"292","비많이 올때는 (()) 흐는거 안봐봔","비많이 올때는 (()) 흐는거 안봐봔"
"293","우리의 애기들 어릴 때 거기 텐트치고","우리의 애기들 어릴 때 거기 텐트치고"
"294","해그네 고기 구워먹잰 해그네 거기 이제 간예","해서 고기 구워먹으려고 해서 거기 이제 갓어요"
"295","가가 지고 이제 자리 잡앙 텐트 치고 겅행 얘기들 거기","가가 지고 이제 자리 잡고 텐트 치고 그래서 얘기들 거기"
"296","물놀이 하는 데가 이서마씨","물놀이 하는 데가 있어요"
"297","개울 물같이 흐르는데","개울 물같이 흐르는데"
"298","거기 가신 뒤 물이 너무 좁아 그리고 또","거기 가신 뒤 물이 너무 좁아 그리고 또"
"299","뭐랜 하지 그 원래 막 흘러야 되는데 흐르지 못해부렁 그런 가물어가지고 그때","뭐라고 하지 그 원래 막 흘러야 되는데 흐르지 못해서 그런 가물어가지고 그때"
"300","아이들이 거기서 나왕 이닦을 씻을 그런 물이 없어가지고 우리 그 생수 같은 거","아이들이 거기서 나왕 이닦을 씻을 그런 물이 없어가지고 우리 그 생수 같은 거"
"301","먹잰 가저간걸로 대충대충 닦으고 물티슈로 닦으고","먹으려고 가저간걸로 대충대충 닦으고 물티슈로 닦으고"
"302","재미나시켜이","재밌었겠다"
"303","응응 그때막 겅했주마씨","응응 그때막 그랬거든요"
"304","겅해그네 겅하고","그래서 그러고"
"305","아 언니 그거 얘기하난 비올때 제주도 그","아 언니 그거 얘기하난 비올때 제주도 그"
"306","성판악에 그 한라산 가잖아요","성판악에 그 한라산 가잖아요"
"307","그무슨","그무슨"
"308","근데 가기 전에 그 옆으로 왼쪽으로 가면 사라오름","근데 가기 전에 그 옆으로 왼쪽으로 가면 사라오름"
"309","그 웅덩이 물 있잖아예","그 웅덩이 물 있잖아요"
"310","나가 거기 너무 좋아하거든마씨 겡 거기","나가 거기 너무 좋아하거든요 그래서 거기"
"311","비올때 가야되","비올때 가야되"
"312","비 고득해그네 거기 차난 그때 한번","비 가득해서 거기 차니까 그때 한번"
"313","그 거기 나무 데크를 그 벗언 걸어서마씨 그꼴로","그 거기 나무 데크를 그 벗고 걸었어요 그꼴로"
"314","(()) 여러번 겅 갔었어도","(()) 여러번 그렇게 갔었어도"
"315","여러번 가신디 비올 때 딱 한 번 간","여러번 갔는데 비올 때 딱 한 번 갔어"
"316","그니까 아니나 비온 그다음날 한 며칠 후에라도 가신디","그니까 아니나 비온 그다음날 한 며칠 후에라도 갔는데"
"317","그 사이에도 비 이게 물 위에 딱 저거행예","그 사이에도 비 이게 물 위에 딱 저거해서요"
"318","게난 좀 고생돼도 비올 때를 가든가","그러니까 좀 고생돼도 비올 때를 가든가"
"319","아니면 비온 다음날 바로 가든가해야 그것도","아니면 비온 다음날 바로 가든가해야 그것도"
"320","느껴지지 겅하지 않으면","느껴지지 그러지 않으면"
"321","거기 진짜 예뻐","거기 진짜 예뻐"
"322","사라오름예 진짜 예뻐","사라오름예 진짜 예뻐"
"323","근데 한라산 등반하는 기분이라마씨 거기는","근데 한라산 등반하는 기분이에요 거기는"
"324","너무 힘들어","너무 힘들어"
"325","(())","(())"
"326","무사냐 거기서부터의 정상까지는 몇 킬로 안 남았거든예","왜냐 거기서부터의 정상까지는 몇 킬로 안 남았거든요"
"327","(())같이 못가큰게","(())같이 못가큰게"
"328","나의 올해도 갔다 와서마씨","나의 올해도 갔다 와서마씨"
"329","유 월인가 칠 월에 그 비 와 가지고 완전 뭐해그네 이제 가야 된다 겅해 가지고","유 월인가 칠 월에 그 비 와 가지고 완전 뭐해서 이제 가야 된다 그렇게해 가지고"
"330","하루 휴가 내그네","하루 휴가 내서"
"331","누구영?","누구랑?"
"332","신랑이랑 같이 신랑이영 같이 올라가신디","신랑이랑 같이 신랑이랑 같이 올라갔는데"
"333","나의 등산화 겅 올래된줄 몰란예 등산화 다 삭앙예 밑창 다 털어저부런예","나의 등산화 겅 올래된줄 몰란예 등산화 다 삭아서 밑창 다 떨어져버려서"
"334","등산화 버려수다 갔당왕","등산화 버렸어요 갔다와서"
"335","다행히여 그것은 딱 뜯어지지안해그네","다행히여 그것은 딱 뜯어지지 않아서"
"336","거기서 뜯어졌대니까마씨","거기서 뜯어졋다니까요"
"337","개그네 등산화 끈으로 다 칭칭 감아그네 겨우겨우","그래서 등산화 끈으로 다 칭칭 감아서 겨우겨우"
"338","덜렁덜렁행 내려와서마씨","덜렁덜렁해서 내려왔어요"
"339","등산화 두개다 다 뜯어젼","등산화 두개다 다 뜯어졋어"
